,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
6327,2017,Charlie Coyle,C,13.118484371341765,11,82,86,81,85,83,77,64,8
6328,2017,Charlie McAvoy,D,5.419201008975506,7,77,86,88,87,78,85,69,20
6331,2017,Chris Butler,D,0.028230400756001476,0,62,51,55,56,51,57,71,1
6333,2017,Chris Kreider,LW,15.375761423259974,16,86,85,86,70,75,85,78,-2
6334,2017,Chris Kunitz,LW,9.202132906764746,13,85,80,88,73,86,79,69,8
6335,2017,Chris Stewart,RW,6.992651097476482,10,81,68,75,63,64,66,72,-5
6336,2017,Chris Thorburn,RW,2.9823844418860967,1,62,68,86,65,63,62,71,-4
6337,2017,Chris Tierney,C,16.771526254247874,17,86,85,64,80,88,87,76,0
6338,2017,Chris Wagner,RW,9.869610720314084,7,77,73,97,81,74,74,75,-10
6339,2017,Chris Wideman,D,1.2559522306546569,3,70,66,62,61,51,66,74,5
6340,2017,Christian Djoos,D,4.254991781897844,3,67,75,63,84,70,82,67,13
6341,2017,Christian Dvorak,C,18.126731616444886,15,85,85,84,81,77,77,68,-19
6342,2017,Christian Fischer,RW,16.485209477134052,15,85,82,86,69,72,66,70,-17
6343,2017,Christian Folin,D,2.0023499410599466,3,67,74,90,89,65,82,70,1
6344,2017,Christian Jaros,D,0.0,0,62,51,56,53,51,53,71,0
6345,2017,Christian Wolanin,D,0.8910965137183666,1,63,59,56,58,57,62,68,-4
6348,2017,Christopher Tanev,D,1.308381525799632,2,65,73,62,86,72,70,69,7
6349,2017,Claude Giroux,C,19.692152693867683,34,93,98,65,69,85,85,86,28
6350,2017,Clayton Keller,RW,20.518171603791412,23,89,91,55,72,86,86,75,-7
6351,2017,Cody Ceci,D,7.847858556546272,5,72,78,90,94,75,85,72,-27
6352,2017,Cody Eakin,C,10.920769976451993,11,82,80,78,80,90,80,64,-6
6354,2017,Cody McLeod,LW,3.6735577527433634,1,62,63,88,67,56,62,71,-11
6355,2017,Colby Cave,C,0.2182142399251461,0,62,52,55,53,55,52,71,0
6356,2017,Colin Miller,D,9.059379317332061,10,80,87,90,85,85,87,76,-4
6357,2017,Colin White,C,2.3085291367024183,2,66,64,59,65,64,68,68,1
6358,2017,Colin Wilson,C,9.432394195348023,6,76,76,70,69,69,68,68,-5
6359,2017,Colton Parayko,D,9.969167329836637,6,75,87,86,92,88,85,68,-7
6360,2017,Colton Sceviour,RW,12.666791108902546,11,82,77,83,86,84,81,70,6
6361,2017,Colton Sissons,C,14.773668156005444,9,79,82,88,81,80,80,65,2
6362,2017,Connor Brickley,LW,5.6309353886172175,4,71,71,84,73,68,72,70,-6
6363,2017,Connor Brown,RW,14.330507702659814,14,85,78,63,72,87,77,63,0
6364,2017,Connor Carrick,D,2.561519348993897,4,71,71,72,84,67,75,77,5
6365,2017,Connor McDavid,C,36.27999571803957,41,96,98,64,80,99,89,75,20
6366,2017,Connor Murphy,D,4.7559627196751535,2,62,76,88,88,72,82,69,-3
6367,2017,Conor Sheary,LW,15.931744138710199,18,87,76,66,74,85,84,67,2
6368,2017,Corey Perry,RW,18.731124405749146,17,86,88,77,76,75,85,70,-4
6369,2017,Cory Conacher,C,4.49852148629725,8,79,64,69,64,63,60,74,0
6370,2017,Craig Smith,C,25.393174815457314,25,89,86,77,76,90,79,78,20
6371,2017,Curtis Lazar,C,7.506105806678533,2,65,75,88,71,67,72,70,-8
6374,2017,Dakota Mermis,D,0.07695190794765949,0,62,51,56,59,51,55,71,-2
6375,2017,Dale Weise,RW,4.379224725067616,4,72,64,82,64,71,64,67,-7
6376,2017,Dalton Prout,D,0.27079331688582897,0,62,51,58,56,51,60,71,-2
6377,2017,Damon Severson,D,6.658778780139983,9,79,79,85,85,80,86,63,-8
6378,2017,Dan Girardi,D,4.533518990967423,6,75,76,88,93,72,78,77,18
6379,2017,Dan Hamhuis,D,3.468648875132203,3,66,84,82,89,70,80,70,-7
6380,2017,Danick Martel,LW,0.7672755569219589,0,62,52,56,60,55,52,71,-1
6381,2017,Daniel Brickley,D,0.0,0,62,55,54,54,51,53,71,1
6382,2017,Daniel Carr,LW,5.96478979755193,6,76,75,68,65,70,67,74,2
6385,2017,Daniel Sprong,RW,2.3478070665150876,2,66,56,59,55,53,56,69,2
6387,2017,Danny DeKeyser,D,3.4013607846572995,6,76,67,81,90,62,80,68,2
6388,2017,Danny O'Regan,C,1.753070030361414,0,62,65,56,57,66,62,71,-2
6389,2017,Danton Heinen,LW,15.735679974313824,16,86,88,73,75,86,77,72,10
6390,2017,Darnell Nurse,D,10.771344513166694,6,75,83,89,93,82,90,63,15
6391,2017,Darren Archibald,RW,3.0368730518966918,4,72,66,84,64,63,53,71,-1
6392,2017,Darren Helm,LW,12.021371530368926,13,84,82,88,76,86,82,69,3
6393,2017,David Backes,RW,16.322296890430152,14,85,83,88,70,85,75,69,2
6396,2017,David Kampf,C,5.328585975803435,4,72,70,67,69,72,64,70,-9
6397,2017,David Krejci,C,13.263868603389712,17,86,86,66,76,80,80,81,10
6398,2017,David Pastrnak,RW,26.554631930310283,35,93,92,76,74,88,90,85,10
6399,2017,David Perron,LW,12.11961511336267,16,86,93,87,67,87,82,75,1
6400,2017,David Savard,D,6.804707943927497,4,68,76,88,92,79,78,68,2
6401,2017,David Schlemko,D,1.2815548526123166,1,62,64,68,86,70,79,68,3
6403,2017,Dean Kukan,D,0.6318035726435483,0,62,64,54,63,51,58,71,2
6404,2017,Denis Malgin,C,8.140677793882787,11,82,76,75,70,85,75,74,4
6408,2017,Derek Forbort,D,2.7604373265057798,1,62,81,88,93,75,91,69,18
6409,2017,Derek Grant,C,8.68399759940803,12,84,76,78,78,76,68,77,3
6410,2017,Derek MacKenzie,C,7.573798538651317,3,68,75,87,80,80,69,70,-9
6411,2017,Derek Ryan,C,17.06099994201213,15,85,85,75,71,89,86,67,-15
6412,2017,Derek Stepan,C,17.562543727923185,14,85,91,75,83,86,78,74,-7
6413,2017,Derick Brassard,C,20.196182148065414,21,88,86,85,70,86,85,67,0
6414,2017,Derrick Pouliot,D,3.543771191034466,3,66,83,81,90,79,89,72,-22
6415,2017,Deryk Engelland,D,4.728790232911706,5,72,82,87,92,80,87,69,6
6416,2017,Devante Smith-Pelly,RW,9.474521955475213,7,77,73,89,85,74,72,71,-6
6417,2017,Devin Shore,C,14.067504511680456,11,82,84,79,85,84,73,71,-28
6418,2017,Dillon Heatherington,D,0.14182347897440195,0,62,55,57,55,51,55,71,3
6419,2017,Dion Phaneuf,D,4.863245768472551,6,75,83,90,93,76,87,73,-15
